1044,095 Portloman,Westmeath,Eastern and Midlands,2,2.22,16,5.33,309,94.21,96.65,0,90.55,0
1045,096 Raharney,Westmeath,Eastern and Midlands,1,0.94,11.56,3.75,463,90.61,96.28,0,93.37,0
1046,097 Rahugh,Westmeath,Eastern and Midlands,3,0.49,10.73,4.39,289,97.64,95.61,0,91.58,14.29
1047,098 Rathconrath,Westmeath,Eastern and Midlands,1,0.44,14.6,2.21,331,93.77,96.88,0.28,93.8,0
1048,099 Russellstown,Westmeath,Eastern and Midlands,0,1.62,14.24,6.15,464,90.8,96.67,0,94.92,0
1049,100 Skeagh,Westmeath,Eastern and Midlands,0,0,8.82,1.76,231,95.06,97.12,0,95.47,0
1050,101 Sonna,Westmeath,Eastern and Midlands,0,0.52,14.51,5.18,262,88.22,92.26,0.67,88.93,0
1051,102 Stonehall,Westmeath,Eastern and Midlands,3,0.66,18.54,7.28,187,84.62,93.67,0,88.05,0
1052,103 Streamstown,Westmeath,Eastern and Midlands,2,0.86,12.45,1.72,335,93.06,96.39,0,97.24,0
1053,104 Taghmon,Westmeath,Eastern and Midlands,2,0.79,16.27,4.37,361,92.56,95.64,0,92.56,0
1054,105 Tullaghan,Westmeath,Eastern and Midlands,2,1.18,18.82,6.67,363,93.32,97.17,0,95.4,0
1055,106 Woodland,Westmeath,Eastern and Midlands,1,1.97,20.2,9.36,285,95.64,99.33,0,93.98,0
1056,001 Enniscorthy Urban,Wexford,Southern,27,0.8,6.29,2.08,1925,83.51,84.43,2.86,84.4,3.02
1057,002 New Ross Urban,Wexford,Southern,26,1.13,7.82,3.02,3236,83.02,85.17,7.34,91.14,6.05
1058,003 Rosbercon Urban,Wexford,Southern,7,1.77,13.5,3.76,351,56.34,59.23,21.35,79.71,6.53
1059,004 Wexford No. 1 Urban,Wexford,Southern,33,2.29,12.34,6.29,1260,80.31,82.09,6.12,83.36,5.56
1060,005 Wexford No. 2 Urban,Wexford,Southern,35,0.98,8.1,2.89,3475,85.91,88.36,3.29,87.11,2.75
1061,006 Wexford No. 3 Urban,Wexford,Southern,15,1.52,14.02,5.49,968,75.33,77.74,8.79,79.41,5.13
1062,007 Ballindaggan,Wexford,Southern,7,0,12.03,3.57,750,93.17,95.9,0.37,89.45,0
1063,008 Ballycarney,Wexford,Southern,5,1.06,11.97,3.87,398,92.34,92.81,0,82.41,0
1102,047 Cahore,Wexford,Southern,5,1.74,12.15,5.56,376,91.48,94.4,0,76.14,0
1103,048 Coolgreany,Wexford,Southern,7,1.69,10.85,3.52,996,92.39,96.75,0,88.98,0
1104,049 Courtown,Wexford,Southern,50,1.76,17.75,6.37,1950,86.09,90.07,1.1,79.97,3.14
1105,050 Ford,Wexford,Southern,5,1.93,11.05,4.14,457,88.74,93.01,2.33,86.62,0
1106,051 Gorey Rural,Wexford,Southern,56,1.07,13.7,5.79,4859,79.15,81.69,7.17,84.45,4.82
1107,052 Gorey Urban,Wexford,Southern,42,1.57,11.34,4.68,2837,83.12,85.41,4.34,84.58,2.38
1205,026 Stratford,Wicklow,Eastern and Midlands,3,1.44,14.44,3.61,388,90.44,94.41,0,81.63,0
1206,027 Talbotstown,Wicklow,Eastern and Midlands,4,1.15,16.03,4.58,359,91.82,94.63,2.3,73.42,4
1207,028 The Grange,Wicklow,Eastern and Midlands,9,1.47,14.65,7.69,355,86.17,91.75,0.73,84.73,0
1208,029 Tober,Wicklow,Eastern and Midlands,4,1.9,17.46,6.67,482,92.69,94.62,0.77,85.11,5
1209,030 Togher,Wicklow,Eastern and Midlands,3,1.32,8.37,7.93,304,91.57,93.98,0.3,89.16,0
1210,031 Tuckmill,Wicklow,Eastern and Midlands,2,0.65,12.9,2.58,225,92.59,94.65,0,84.96,0
1211,032 Delgany,Wicklow,Eastern and Midlands,152,3.08,25.1,13.22,4679,83.84,90.34,1.52,73.37,2.18
1212,033 Enniskerry,Wicklow,Eastern and Midlands,67,3.67,23.78,13.08,2230,84.12,90.31,0.64,72.37,0.96
1259,080 Rath,Wicklow,Eastern and Midlands,0,1.66,12.15,5.52,254,97.32,96.55,0,87.74,0
1260,081 Shillelagh,Wicklow,Eastern and Midlands,6,1.53,12.53,5.37,535,89.92,92.61,0,75.46,0
1261,082 Tinahely,Wicklow,Eastern and Midlands,16,0.89,11.36,4.55,1380,90.2,92.35,2.42,83.33,0
1262,001 Ennis No. 1 Urban,Clare,Southern,13,1.84,13.04,4.5,1262,82.81,86.94,1.57,83.57,1.59
1263,002 Ennis No. 2 Urban,Clare,Southern,14,1.01,8.42,2.44,1355,77.25,79.13,4.5,80.48,3.72
